id,latitude,longitude,num_bus_2km,num_subway_2km,num_shop_2km,nearest_shop(m),num_restaurant_2km,neighbourhood_cleansed,room_type,accommodates,baths,beds,days,amenities,price,future_occupancy
1021669,49.27703,-123.12692,312,10,160,34.36127453810221,743,Downtown,Entire home/apt,2,1.0,1,3148,19,60.0,1.0
42539984,49.27996,-123.12328,307,9,168,62.05128202429196,702,Downtown,Entire home/apt,4,1.0,1,620,19,199.0,1.0
51231922,49.2584,-123.07767,206,4,179,570.2344907814744,219,Mount Pleasant,Private room,2,0.5,1,477,8,58.0,0.3
14112559,49.28353,-123.11524,301,9,165,61.006429030218655,635,Downtown,Private room,2,1.0,1,2949,18,90.0,1.0
34675527,49.26314,-123.13233,233,4,165,302.0552943451998,397,Fairview,Entire home/apt,4,1.0,2,2693,13,175.0,1.0
28987554,49.21206,-123.112,104,2,59,395.0459349597967,23,Marpole,Private room,2,0.5,1,2819,16,37.0,1.0
27172733,49.28102,-123.10902,296,9,165,125.56425328786776,578,Downtown,Entire home/apt,6,2.0,2,3398,19,307.0,1.0
19762397,49.28215,-123.12503,271,8,170,10.194028398349825,633,West End,Entire home/apt,2,1.0,2,2537,20,82.0,1.0
35089036,49.28778,-123.12574,229,7,156,134.0069139740746,580,Downtown,Entire home/apt,4,2.0,2,3263,20,279.0,1.0
1141457,49.27925,-123.08814,226,5,169,341.5644968643617,284,Downtown Eastside,Entire home/apt,4,1.0,2,3118,17,100.0,0.933
24379068,49.24895,-123.09842,214,2,184,196.35759377023345,202,Riley Park,Entire home/apt,6,1.0,2,1304,12,150.0,0.833
21607882,49.22584,-123.13769,164,2,77,1138.6478686202252,51,Oakridge,Entire home/apt,2,1.0,2,2217,19,110.0,1.0
27641406,49.27861,-123.12484,310,10,162,28.951372142290886,732,Downtown,Entire home/apt,4,2.0,2,2111,17,373.0,1.0
34399029,49.26939,-123.10321,327,10,176,246.5961147047191,527,Mount Pleasant,Entire home/apt,2,1.0,1,1840,14,124.0,1.0
52940751,49.27558,-123.11674,359,10,162,161.80645715766323,686,Downtown,Entire home/apt,2,1.0,1,473,15,134.0,0.6
9533778,49.28003,-123.06204,141,1,155,98.94858001544425,116,Grandview-Woodland,Entire home/apt,6,1.0,3,2486,18,120.0,1.0
13065799,49.28125,-123.12762,263,8,167,222.92043671890661,632,West End,Entire home/apt,2,1.0,1,2414,15,120.0,1.0
17703644,49.25744,-123.10509,226,4,188,284.371353950836,255,Mount Pleasant,Entire home/apt,4,1.0,3,3334,18,110.0,0.733
24335614,49.27993,-123.13258,274,8,151,95.24275848122369,659,West End,Entire home/apt,3,1.0,1,1358,12,103.0,1.0
35571642,49.24855,-123.12028,191,3,185,347.9818584220751,175,South Cambie,Entire home/apt,4,1.5,2,880,20,148.0,0.6
11550687,49.24616,-123.0657,234,4,145,98.11620416181255,130,Kensington-Cedar Cottage,Private room,1,1.0,1,2077,13,40.0,1.0
29101935,49.28206,-123.10387,278,9,164,29.894457246545485,514,Downtown Eastside,Private room,2,0.5,2,1704,9,300.0,0.033
18972366,49.24532,-123.07588,228,2,147,386.4413994260772,174,Kensington-Cedar Cottage,Entire home/apt,4,1.0,2,1623,19,139.0,0.033
47054062,49.27323,-123.13147,312,8,160,248.38568067443848,709,Downtown,Entire home/apt,2,1.0,1,338,13,100.0,0.867
11459956,49.23359,-123.04695,248,3,132,294.0869734347107,143,Renfrew-Collingwood,Private room,1,1.0,1,2332,14,90.0,0.467
12604369,49.25394,-123.10394,203,3,189,378.175827905434,248,Riley Park,Entire home/apt,4,1.0,2,2810,20,159.0,0.633
35766872,49.28845,-123.1267,223,7,157,59.5781632634953,575,Downtown,Entire home/apt,2,1.0,1,1818,20,146.0,0.833
19860252,49.27748,-123.12211,354,10,165,113.9953824105741,734,Downtown,Entire home/apt,2,1.0,1,3825,14,94.0,1.0
4447077,49.27403,-123.09921,311,11,165,615.0051659825375,493,Strathcona,Entire home/apt,2,1.0,1,3399,20,100.0,1.0
50058478,49.28123,-123.13265,254,7,154,79.75364298408927,624,West End,Entire home/apt,3,1.0,1,1052,9,102.0,1.0
33881023,49.27657,-123.11552,348,10,163,28.412250149409445,672,Downtown,Entire home/apt,4,1.0,2,2740,15,135.0,1.0
51365809,49.28052,-123.12454,292,9,167,65.71459517738525,688,Downtown,Entire home/apt,4,1.0,2,99,16,139.0,0.733
48577969,49.2867,-123.13479,207,6,147,111.38549895349166,531,West End,Entire home/apt,2,1.0,1,2307,15,133.0,0.933
42519353,49.25684,-123.11211,206,3,187,373.49421030334184,263,Mount Pleasant,Entire home/apt,2,1.0,1,2729,19,76.0,1.0
9562576,49.27546,-123.12481,334,10,161,51.759579075650876,761,Downtown,Entire home/apt,2,1.0,1,2658,20,290.0,1.0
40092564,49.27509,-123.10154,326,11,165,585.3452620604767,547,Downtown,Entire home/apt,4,2.0,2,2665,14,115.0,1.0
8801413,49.25754,-123.05546,223,7,151,778.3144785496584,137,Renfrew-Collingwood,Private room,1,0.5,1,2237,18,54.0,1.0
36816707,49.26124,-123.09842,230,5,181,169.3951793242725,255,Mount Pleasant,Entire home/apt,4,1.0,2,843,20,150.0,1.0
39974740,49.26036,-123.13016,221,4,170,372.45327122904655,317,Fairview,Entire home/apt,2,1.0,1,2554,11,60.0,1.0
